market,pca,target,h,group,metric,score,acc,baseline,n_test
UK,50,vol20,20,Full,R2,-7.225433718528375,,,259
UK,50,dir1,1,AR_Only,AUC,0.47068345323741007,0.4749034749034749,0.5366795366795367,259
UK,50,dir1,1,Full,AUC,0.559832134292566,0.528957528957529,0.5366795366795367,259
UK,50,dir5,5,AR_Only,AUC,0.6021505376344086,0.5791505791505791,0.5212355212355212,259
UK,50,dir5,5,Full,AUC,0.5887096774193548,0.528957528957529,0.5212355212355212,259
UK,50,dir20,20,AR_Only,AUC,0.5938837920489297,0.5868725868725869,0.5791505791505791,259
UK,50,dir20,20,Full,AUC,0.6351070336391437,0.49034749034749037,0.5791505791505791,259
UK,15,vol1,1,AR_Only,R2,-0.18073194250867597,,,259
UK,15,vol1,1,Full,R2,-0.15013176946075246,,,259
UK,15,vol5,5,AR_Only,R2,-0.5042785413477557,,,259
UK,15,vol5,5,Full,R2,-0.0573276072888429,,,259
UK,15,vol10,10,AR_Only,R2,-1.463813643943395,,,259
UK,15,vol10,10,Full,R2,-2.067500020320017,,,259
UK,15,vol20,20,AR_Only,R2,-2.7734843900871926,,,259
UK,15,vol20,20,Full,R2,-5.343724857662252,,,259
UK,15,dir1,1,AR_Only,AUC,0.47068345323741007,0.4749034749034749,0.5366795366795367,259
UK,15,dir1,1,Full,AUC,0.4835731414868106,0.5212355212355212,0.5366795366795367,259
UK,15,dir5,5,AR_Only,AUC,0.6021505376344086,0.5791505791505791,0.5212355212355212,259
UK,15,dir5,5,Full,AUC,0.5425328554360813,0.5173745173745173,0.5212355212355212,259
UK,15,dir20,20,AR_Only,AUC,0.5938837920489297,0.5868725868725869,0.5791505791505791,259
UK,15,dir20,20,Full,AUC,0.6101529051987767,0.49034749034749037,0.5791505791505791,259
UK,5,vol1,1,AR_Only,R2,-0.18073194250867597,,,259
UK,5,vol1,1,Full,R2,-0.1245502554501059,,,259
UK,5,vol5,5,AR_Only,R2,-0.5042785413477557,,,259
UK,5,vol5,5,Full,R2,0.015461908527407808,,,259
UK,5,vol10,10,AR_Only,R2,-1.463813643943395,,,259
UK,5,vol10,10,Full,R2,-1.2584667472150501,,,259
UK,5,vol20,20,AR_Only,R2,-2.7734843900871926,,,259
UK,5,vol20,20,Full,R2,-6.616812487095577,,,259
UK,5,dir1,1,AR_Only,AUC,0.47068345323741007,0.4749034749034749,0.5366795366795367,259
UK,5,dir1,1,Full,AUC,0.5278776978417267,0.4942084942084942,0.5366795366795367,259
UK,5,dir5,5,AR_Only,AUC,0.6021505376344086,0.5791505791505791,0.5212355212355212,259
UK,5,dir5,5,Full,AUC,0.5734169653524492,0.5328185328185329,0.5212355212355212,259
UK,5,dir20,20,AR_Only,AUC,0.5938837920489297,0.5868725868725869,0.5791505791505791,259
UK,5,dir20,20,Full,AUC,0.6569418960244648,0.5173745173745173,0.5791505791505791,259
