"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2020","216.31","208.77","216.46","205.83","112.93M","5.16%"
"02/28/2020","205.69","198.82","207.06","198.07","149.25M","0.08%"
"02/27/2020","205.53","210.94","216.31","205.39","121.82M","-5.01%"
"02/26/2020","216.37","216.56","220.16","214.79","80.40M","0.52%"
"02/25/2020","215.26","223.07","223.87","214.63","97.74M","-2.72%"
"02/24/2020","221.27","221.72","224.13","220.14","84.52M","-3.86%"
"02/21/2020","230.15","233.52","233.89","229.20","66.06M","-1.92%"
"02/20/2020","234.66","236.34","236.83","231.76","42.60M","-0.93%"
"02/19/2020","236.86","235.95","237.35","235.73","22.23M","0.96%"
"02/18/2020","234.61","233.35","235.05","233.13","24.52M","0.04%"
"02/14/2020","234.52","234.16","234.74","233.43","23.44M","0.29%"
"02/13/2020","233.85","232.50","234.81","232.24","22.77M","-0.13%"
"02/12/2020","234.15","233.22","234.26","232.68","24.47M","0.97%"
"02/11/2020","231.89","233.09","233.90","231.28","30.20M","0.02%"
"02/10/2020","231.85","228.31","231.86","228.26","21.48M","1.21%"
"02/07/2020","229.08","229.04","230.32","228.42","25.88M","-0.43%"
"02/06/2020","230.07","228.65","230.13","227.86","22.47M","0.86%"
"02/05/2020","228.10","230.10","230.13","226.73","38.53M","0.33%"
"02/04/2020","227.35","225.27","227.74","224.53","30.69M","2.29%"
"02/03/2020","222.26","220.02","222.77","219.87","25.47M","1.51%"
"01/31/2020","218.95","223.38","223.44","218.17","52.02M","-1.59%"
"01/30/2020","222.48","220.25","222.58","219.57","39.57M","0.36%"
"01/29/2020","221.69","222.54","222.81","220.71","29.06M","0.16%"
"01/28/2020","221.33","219.48","221.84","218.94","26.73M","1.53%"
"01/27/2020","217.99","217.61","219.17","217.07","42.26M","-2.06%"
"01/24/2020","222.58","225.50","225.76","221.55","37.44M","-0.84%"
"01/23/2020","224.47","223.59","224.57","222.58","26.50M","0.32%"
"01/22/2020","223.75","224.26","225.03","223.47","20.74M","0.26%"
"01/21/2020","223.16","222.61","223.72","222.54","21.15M","-0.04%"
"01/17/2020","223.26","223.12","223.44","222.01","24.33M","0.50%"
"01/16/2020","222.16","221.12","222.20","220.68","18.80M","0.96%"
"01/15/2020","220.05","220.06","221.08","219.33","25.74M","0.04%"
"01/14/2020","219.96","220.63","221.09","219.62","24.57M","-0.39%"
"01/13/2020","220.83","219.19","220.86","218.87","22.85M","1.15%"
"01/10/2020","218.32","219.64","219.75","217.93","21.91M","-0.26%"
"01/09/2020","218.88","218.80","219.29","217.60","23.64M","0.85%"
"01/08/2020","217.04","215.36","218.03","215.05","26.46M","0.75%"
"01/07/2020","215.42","215.53","216.03","214.74","23.12M","-0.01%"
"01/06/2020","215.45","212.38","215.48","212.13","21.73M","0.64%"
"01/03/2020","214.07","213.18","215.36","213.17","27.53M","-0.92%"
"01/02/2020","216.05","214.29","216.05","213.87","31.01M","1.67%"
"12/31/2019","212.50","211.51","212.65","211.09","18.20M","0.19%"
"12/30/2019","212.10","213.40","213.52","211.05","21.83M","-0.66%"
"12/27/2019","213.50","214.44","214.45","212.93","18.14M","-0.08%"
"12/26/2019","213.68","212.15","213.70","212.12","17.16M","0.88%"
"12/24/2019","211.81","211.86","211.98","211.33","7.09M","0.05%"
"12/23/2019","211.70","211.92","212.04","211.52","23.80M","0.05%"
"12/20/2019","211.60","211.70","212.41","211.16","27.69M","0.40%"
"12/19/2019","210.75","209.53","210.82","209.51","17.89M","0.63%"
"12/18/2019","209.44","209.49","210.02","209.22","15.49M","0.08%"
"12/17/2019","209.28","209.39","209.60","208.93","16.03M","0.06%"
"12/16/2019","209.16","208.39","209.42","208.37","21.37M","1.00%"
"12/13/2019","207.08","206.25","207.80","205.85","32.53M","0.33%"
"12/12/2019","206.40","204.66","207.21","204.38","32.70M","0.75%"
"12/11/2019","204.87","204.26","205.08","203.93","18.90M","0.53%"
"12/10/2019","203.79","204.06","204.77","203.33","21.85M","-0.08%"
"12/09/2019","203.96","204.52","205.49","203.87","14.03M","-0.45%"
"12/06/2019","204.89","204.14","205.04","204.04","16.56M","1.07%"
"12/05/2019","202.72","203.04","203.04","201.73","15.04M","0.20%"
"12/04/2019","202.32","202.38","202.80","202.03","15.34M","0.51%"
"12/03/2019","201.30","200.21","201.38","193.68","31.43M","-0.78%"
"12/02/2019","202.89","205.00","205.07","201.67","28.12M","-1.02%"
"11/29/2019","204.99","205.48","205.72","204.89","9.85M","-0.46%"
"11/27/2019","205.93","205.02","205.94","204.78","17.06M","0.70%"
"11/26/2019","204.50","204.21","204.76","203.94","14.81M","0.19%"
"11/25/2019","204.11","202.56","204.15","202.56","17.79M","1.18%"
"11/22/2019","201.72","202.06","202.21","200.63","17.20M","0.06%"
"11/21/2019","201.59","201.83","201.96","200.96","17.93M","-0.22%"
"11/20/2019","202.04","202.74","203.34","200.51","36.71M","-0.60%"
"11/19/2019","203.26","203.73","203.73","202.48","17.00M","0.15%"
"11/18/2019","202.96","202.50","203.28","201.66","18.41M","0.08%"
"11/15/2019","202.80","202.50","202.80","201.89","18.43M","0.74%"
"11/14/2019","201.32","200.72","201.45","200.11","17.06M","-0.08%"
"11/13/2019","201.48","200.73","201.67","200.60","16.11M","0.02%"
"11/12/2019","201.43","201.02","202.10","200.71","14.78M","0.29%"
"11/11/2019","200.85","200.12","200.93","199.84","10.19M","-0.13%"
"11/08/2019","201.12","199.91","201.14","199.44","15.27M","0.40%"
"11/07/2019","200.32","200.65","201.61","199.75","17.83M","0.33%"
"11/06/2019","199.66","199.88","199.90","198.68","19.73M","-0.22%"
"11/05/2019","200.10","200.24","200.44","199.45","15.05M","0.06%"
"11/04/2019","199.99","200.08","200.42","198.76","19.02M","0.61%"
"11/01/2019","198.77","197.83","198.78","197.53","22.13M","0.91%"
"10/31/2019","196.98","197.46","197.55","195.84","26.80M","0.05%"
"10/30/2019","196.89","196.32","197.22","195.19","21.76M","0.48%"
"10/29/2019","195.94","197.14","197.43","195.91","18.57M","-0.77%"
"10/28/2019","197.47","196.47","197.73","196.45","18.84M","0.99%"
"10/25/2019","195.54","192.99","195.64","192.95","21.51M","0.80%"
"10/24/2019","193.99","193.52","194.11","192.64","19.26M","0.97%"
