date,news_volume,sent_pos_mean,sent_neg_mean,sent_neu_mean,sent_score_mean,sent_score_std,sent_max_neg,sent_pos_ratio,sent_neg_ratio,sent_score_ma5,sent_score_ma20,sent_surprise,sent_momentum_3d,sent_vol_5d,news_volume_chg
2023-11-21,7,0.063364886,0.69450295,0.24213216,-0.631138,0.42695582,0.96594286,0.0,0.7142857142857143,-0.5229290366172791,-0.38367812186479566,-0.10820899009704588,-0.6047743161519369,0.193218661951949,0.16666666666666674
2023-11-22,6,0.04782671,0.779643,0.17253028,-0.7318163,0.28826308,0.97087663,0.0,0.8333333333333334,-0.5625599503517151,-0.37706887573003767,-0.1692563414573669,-0.5926341017087301,0.2150578140352679,-0.1428571428571429
2023-11-23,5,0.18644178,0.6170405,0.19651774,-0.43059874,0.6740721,0.9534272,0.2,0.6,-0.5953475952148437,-0.39678577668964865,0.16474885940551753,-0.597851018110911,0.16544001137811423,-0.16666666666666663
2023-11-24,5,0.22419295,0.6043396,0.17146745,-0.38014668,0.7362969,0.9524113,0.2,0.6,-0.5177295446395874,-0.40145344771444796,0.13758286237716677,-0.514187236626943,0.1547413080433728,0.0
2023-11-27,6,0.18964076,0.4356511,0.3747081,-0.24601035,0.65695286,0.9137103,0.16666666666666666,0.5,-0.48394201695919037,-0.3895492758601904,0.23793166875839233,-0.35225192209084827,0.19579247787325518,0.19999999999999996
2023-11-28,10,0.1449162,0.40207475,0.45300904,-0.25715858,0.50065833,0.9246448,0.1,0.3,-0.4091461271047592,-0.37509760819375515,0.15198754966259004,-0.29443853596846264,0.19693318348030656,0.6666666666666667
2023-11-29,8,0.44449592,0.24688825,0.30861583,0.19760765,0.63520914,0.92874616,0.5,0.125,-0.22326133847236634,-0.34841291345655917,0.42086898982524873,-0.10185375809669495,0.2481929966178114,-0.19999999999999996
2023-11-30,8,0.061454777,0.6189791,0.31956613,-0.5575243,0.43972772,0.9661257,0.0,0.625,-0.24864645600318908,-0.36912861950695514,-0.30887786746025087,-0.2056917498509089,0.27924898393768854,0.0
2023-12-01,4,0.41713178,0.53288203,0.049986206,-0.11575024,0.84202564,0.9127306,0.5,0.5,-0.1957671672105789,-0.3319905888289213,0.0800169289112091,-0.1585556368033091,0.27308788849865545,-0.5
2023-12-04,4,0.18119043,0.09172927,0.7270803,0.08946115,0.234211,0.18852918,0.0,0.0,-0.12867286801338196,-0.3141254004091024,0.21813401579856873,-0.19460447132587433,0.2977543319979196,0.0
2023-12-05,3,0.071024895,0.75108624,0.17788889,-0.68006134,0.45219943,0.965028,0.0,0.6666666666666666,-0.21325342059135438,-0.3082356359809637,-0.46680791974067687,-0.23545014361540476,0.3893526323914507,-0.25
2023-12-06,7,0.029211583,0.63935745,0.33143094,-0.61014587,0.38447645,0.96135336,0.0,0.7142857142857143,-0.3748041242361069,-0.3361777950078249,-0.23534174263477325,-0.4002486864725749,0.3408098933550103,1.3333333333333335
2023-12-07,5,0.47474638,0.4288693,0.09638436,0.045877077,0.7554992,0.9092808,0.6,0.4,-0.25412384420633316,-0.3583658456802368,0.3000009208917618,-0.41477671017249423,0.3658458983292693,-0.2857142857142857
2023-12-08,5,0.09670027,0.5632824,0.34001732,-0.46658212,0.52269506,0.9496232,0.0,0.6,-0.32429022043943406,-0.3618456318974495,-0.1422918990254402,-0.3436169698834419,0.36631528341140546,0.0
2023-12-11,15,0.10946136,0.50857323,0.38196543,-0.39911187,0.51323825,0.96706545,0.06666666666666667,0.5333333333333333,-0.42200482338666917,-0.37801802046597005,0.0228929564356804,-0.2732723032434781,0.28434790019287476,2.0
2023-12-12,9,0.15231831,0.6753242,0.1723575,-0.52300584,0.61824083,0.97196823,0.1111111111111111,0.7777777777777778,-0.39059372395277026,-0.3839805770665407,-0.13241211920976637,-0.46289994319279987,0.2559734691310557,-0.4
