"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2015","6,420.93","6,395.65","6,447.34","6,395.20","583.61M","0.40%"
"12/01/2015","6,395.65","6,356.09","6,402.36","6,356.09","809.01M","0.62%"
"11/30/2015","6,356.09","6,375.15","6,387.11","6,329.92","855.38M","-0.30%"
"11/27/2015","6,375.15","6,393.13","6,393.13","6,345.30","486.35M","-0.28%"
"11/26/2015","6,393.13","6,337.64","6,395.33","6,333.92","467.83M","0.88%"
"11/25/2015","6,337.64","6,277.23","6,348.05","6,277.23","694.08M","0.96%"
"11/24/2015","6,277.23","6,305.49","6,305.49","6,221.33","880.47M","-0.45%"
"11/23/2015","6,305.49","6,334.63","6,334.63","6,267.05","603.42M","-0.46%"
"11/20/2015","6,334.63","6,329.93","6,360.73","6,311.76","832.32M","0.07%"
"11/19/2015","6,329.93","6,278.97","6,366.85","6,278.97","772.70M","0.81%"
"11/18/2015","6,278.97","6,268.76","6,283.90","6,228.15","634.12M","0.16%"
"11/17/2015","6,268.76","6,146.38","6,269.44","6,146.38","719.06M","1.99%"
"11/16/2015","6,146.38","6,118.28","6,161.90","6,079.79","621.59M","0.46%"
"11/13/2015","6,118.28","6,178.68","6,178.95","6,088.76","702.65M","-0.98%"
"11/12/2015","6,178.68","6,297.20","6,300.90","6,178.68","852.48M","-1.88%"
"11/11/2015","6,297.20","6,275.28","6,327.16","6,272.69","636.99M","0.35%"
"11/10/2015","6,275.28","6,295.16","6,329.69","6,250.31","748.09M","-0.32%"
"11/09/2015","6,295.16","6,353.83","6,380.42","6,292.05","678.63M","-0.92%"
"11/06/2015","6,353.83","6,364.90","6,395.19","6,332.73","733.58M","-0.17%"
"11/05/2015","6,364.90","6,412.88","6,421.81","6,358.12","722.04M","-0.75%"
"11/04/2015","6,412.88","6,383.61","6,459.46","6,383.04","782.76M","0.46%"
"11/03/2015","6,383.61","6,361.80","6,383.61","6,344.70","627.80M","0.34%"
"11/02/2015","6,361.80","6,361.09","6,364.42","6,317.29","522.27M","0.01%"
"10/30/2015","6,361.09","6,395.80","6,410.28","6,337.65","738.50M","-0.54%"
"10/29/2015","6,395.80","6,437.80","6,437.85","6,358.16","852.19M","-0.65%"
"10/28/2015","6,437.80","6,365.27","6,448.46","6,355.78","819.72M","1.14%"
"10/27/2015","6,365.27","6,417.02","6,419.62","6,365.27","564.36M","-0.81%"
"10/26/2015","6,417.02","6,444.08","6,453.00","6,405.38","454.68M","-0.42%"
"10/23/2015","6,444.08","6,376.28","6,487.89","6,376.28","749.54M","1.06%"
"10/22/2015","6,376.28","6,348.42","6,387.28","6,321.65","740.62M","0.44%"
"10/21/2015","6,348.42","6,345.13","6,387.29","6,316.30","615.20M","0.05%"
"10/20/2015","6,345.13","6,352.33","6,367.75","6,319.25","592.20M","-0.11%"
"10/19/2015","6,352.33","6,378.04","6,408.09","6,336.27","476.84M","-0.40%"
"10/16/2015","6,378.04","6,338.67","6,398.23","6,338.67","610.63M","0.62%"
"10/15/2015","6,338.67","6,269.61","6,351.43","6,269.61","644.98M","1.10%"
"10/14/2015","6,269.61","6,342.28","6,342.28","6,268.29","638.45M","-1.15%"
"10/13/2015","6,342.28","6,371.18","6,371.18","6,303.02","722.57M","-0.45%"
"10/12/2015","6,371.18","6,416.16","6,416.16","6,351.34","552.28M","-0.70%"
"10/09/2015","6,416.16","6,374.82","6,453.22","6,374.82","768.20M","0.65%"
"10/08/2015","6,374.82","6,336.35","6,380.30","6,303.46","742.31M","0.61%"
"10/07/2015","6,336.35","6,326.16","6,396.34","6,319.77","1.02B","0.16%"
"10/06/2015","6,326.16","6,298.92","6,343.71","6,255.10","737.90M","0.43%"
"10/05/2015","6,298.92","6,129.98","6,301.05","6,129.98","890.10M","2.76%"
"10/02/2015","6,129.98","6,072.47","6,176.20","6,051.62","888.46M","0.95%"
"10/01/2015","6,072.47","6,061.61","6,172.78","6,053.26","873.58M","0.18%"
"09/30/2015","6,061.61","5,909.24","6,061.61","5,909.24","1.05B","2.58%"
"09/29/2015","5,909.24","5,958.86","5,958.86","5,877.08","1.03B","-0.83%"
