"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2025","1.1554","1.1514","1.1557","1.1512","","0.34%"
"09/08/2025","1.1515","1.1528","1.1546","1.1513","","-0.11%"
"09/05/2025","1.1528","1.1532","1.1566","1.1505","","-0.03%"
"09/04/2025","1.1532","1.1530","1.1553","1.1517","","0.02%"
"09/03/2025","1.1530","1.1507","1.1534","1.1475","","0.20%"
"09/02/2025","1.1507","1.1566","1.1574","1.1475","","-0.52%"
"09/01/2025","1.1567","1.1556","1.1580","1.1530","","0.10%"
"08/29/2025","1.1556","1.1567","1.1585","1.1527","","-0.10%"
"08/28/2025","1.1567","1.1597","1.1610","1.1561","","-0.26%"
"08/27/2025","1.1597","1.1578","1.1616","1.1569","","0.15%"
"08/26/2025","1.1580","1.1581","1.1600","1.1558","","-0.01%"
"08/25/2025","1.1581","1.1545","1.1593","1.1527","","0.31%"
"08/22/2025","1.1545","1.1556","1.1599","1.1529","","-0.10%"
"08/21/2025","1.1557","1.1555","1.1574","1.1538","","0.06%"
"08/20/2025","1.1550","1.1584","1.1618","1.1536","","-0.28%"
"08/19/2025","1.1583","1.1580","1.1593","1.1562","","0.02%"
"08/18/2025","1.1581","1.1590","1.1605","1.1564","","-0.04%"
"08/15/2025","1.1586","1.1618","1.1623","1.1576","","-0.28%"
"08/14/2025","1.1619","1.1597","1.1642","1.1586","","0.19%"
"08/13/2025","1.1597","1.1564","1.1606","1.1553","","0.28%"
"08/12/2025","1.1565","1.1563","1.1609","1.1553","","0.01%"
"08/11/2025","1.1564","1.1554","1.1574","1.1525","","0.08%"
"08/08/2025","1.1555","1.1524","1.1560","1.1516","","0.27%"
"08/07/2025","1.1524","1.1456","1.1545","1.1435","","0.59%"
"08/06/2025","1.1456","1.1492","1.1502","1.1449","","-0.30%"
"08/05/2025","1.1490","1.1482","1.1525","1.1474","","0.07%"
"08/04/2025","1.1482","1.1469","1.1516","1.1445","","0.17%"
"08/01/2025","1.1462","1.1570","1.1578","1.1454","","-0.93%"
"07/31/2025","1.1570","1.1604","1.1617","1.1546","","-0.32%"
"07/30/2025","1.1607","1.1565","1.1614","1.1546","","0.37%"
"07/29/2025","1.1564","1.1530","1.1574","1.1511","","0.33%"
"07/28/2025","1.1526","1.1439","1.1543","1.1408","","0.71%"
"07/25/2025","1.1445","1.1500","1.1517","1.1435","","-0.48%"
"07/24/2025","1.1500","1.1533","1.1542","1.1478","","-0.32%"
"07/23/2025","1.1537","1.1513","1.1568","1.1504","","0.21%"
"07/22/2025","1.1513","1.1533","1.1548","1.1500","","-0.20%"
"07/21/2025","1.1536","1.1530","1.1569","1.1517","","0.03%"
"07/18/2025","1.1533","1.1570","1.1579","1.1529","","-0.32%"
"07/17/2025","1.1570","1.1534","1.1582","1.1519","","0.29%"
"07/16/2025","1.1536","1.1536","1.1566","1.1492","","0.00%"
"07/15/2025","1.1536","1.1512","1.1550","1.1497","","0.21%"
"07/14/2025","1.1512","1.1581","1.1594","1.1497","","-0.32%"
"07/11/2025","1.1549","1.1603","1.1618","1.1532","","-0.47%"
"07/10/2025","1.1604","1.1593","1.1618","1.1578","","0.09%"
"07/09/2025","1.1593","1.1593","1.1624","1.1582","","0.00%"
"07/08/2025","1.1593","1.1615","1.1628","1.1568","","-0.19%"
"07/07/2025","1.1615","1.1592","1.1635","1.1566","","0.21%"
"07/04/2025","1.1591","1.1615","1.1618","1.1576","","-0.22%"
"07/03/2025","1.1616","1.1557","1.1637","1.1553","","0.52%"
"07/02/2025","1.1556","1.1643","1.1660","1.1532","","-0.75%"
"07/01/2025","1.1643","1.1652","1.1688","1.1626","","-0.08%"
"06/30/2025","1.1652","1.1708","1.1715","1.1644","","-0.44%"
"06/27/2025","1.1703","1.1736","1.1755","1.1689","","-0.26%"
"06/26/2025","1.1734","1.1720","1.1744","1.1708","","0.13%"
"06/25/2025","1.1719","1.1727","1.1750","1.1710","","-0.08%"
"06/24/2025","1.1728","1.1682","1.1740","1.1665","","0.39%"
"06/23/2025","1.1682","1.1715","1.1717","1.1659","","0.08%"
"06/20/2025","1.1673","1.1716","1.1731","1.1668","","-0.37%"
"06/19/2025","1.1716","1.1696","1.1729","1.1680","","0.22%"
"06/18/2025","1.1690","1.1696","1.1709","1.1675","","-0.05%"
"06/17/2025","1.1696","1.1746","1.1752","1.1687","","-0.40%"
"06/16/2025","1.1743","1.1766","1.1770","1.1718","","0.00%"
"06/13/2025","1.1743","1.1751","1.1776","1.1719","","-0.07%"
"06/12/2025","1.1751","1.1799","1.1802","1.1698","","-0.35%"
"06/11/2025","1.1792","1.1814","1.1835","1.1778","","-0.19%"
"06/10/2025","1.1814","1.1864","1.1885","1.1806","","-0.41%"
"06/09/2025","1.1863","1.1865","1.1887","1.1858","","-0.06%"
"06/06/2025","1.1870","1.1858","1.1884","1.1843","","0.11%"
"06/05/2025","1.1857","1.1874","1.1892","1.1835","","-0.12%"
"06/04/2025","1.1871","1.1887","1.1896","1.1856","","-0.14%"
"06/03/2025","1.1888","1.1838","1.1894","1.1830","","0.43%"
"06/02/2025","1.1837","1.1867","1.1875","1.1833","","-0.21%"
"05/30/2025","1.1862","1.1869","1.1902","1.1850","","-0.01%"
"05/29/2025","1.1863","1.1931","1.1973","1.1858","","-0.53%"
"05/28/2025","1.1926","1.1923","1.1936","1.1899","","0.03%"
"05/27/2025","1.1923","1.1912","1.1947","1.1903","","0.10%"
"05/26/2025","1.1911","1.1911","1.1925","1.1885","","-0.01%"
"05/23/2025","1.1912","1.1896","1.1937","1.1875","","0.13%"
"05/22/2025","1.1896","1.1843","1.1913","1.1833","","0.44%"
"05/21/2025","1.1844","1.1871","1.1875","1.1814","","-0.23%"
"05/20/2025","1.1871","1.1884","1.1899","1.1859","","-0.11%"
"05/19/2025","1.1884","1.1884","1.1903","1.1854","","-0.06%"
"05/16/2025","1.1891","1.1888","1.1917","1.1855","","0.03%"
"05/15/2025","1.1888","1.1869","1.1902","1.1844","","0.16%"
"05/14/2025","1.1869","1.1898","1.1902","1.1851","","-0.24%"
"05/13/2025","1.1897","1.1884","1.1908","1.1864","","0.11%"
"05/12/2025","1.1884","1.1860","1.1900","1.1816","","0.46%"
"05/09/2025","1.1830","1.1798","1.1831","1.1772","","0.26%"
"05/08/2025","1.1799","1.1762","1.1826","1.1731","","0.34%"
"05/07/2025","1.1759","1.1757","1.1795","1.1731","","0.02%"
"05/06/2025","1.1757","1.1749","1.1820","1.1734","","0.07%"
"05/05/2025","1.1749","1.1743","1.1761","1.1716","","-0.01%"
"05/02/2025","1.1750","1.1762","1.1783","1.1706","","-0.10%"
"05/01/2025","1.1762","1.1768","1.1796","1.1749","","-0.05%"
"04/30/2025","1.1768","1.1775","1.1793","1.1711","","-0.07%"
"04/29/2025","1.1776","1.1768","1.1786","1.1746","","0.07%"
"04/28/2025","1.1768","1.1713","1.1777","1.1685","","0.44%"
"04/25/2025","1.1717","1.1715","1.1753","1.1697","","0.02%"
"04/24/2025","1.1715","1.1715","1.1722","1.1672","","0.02%"
"04/23/2025","1.1713","1.1676","1.1726","1.1648","","0.34%"
"04/22/2025","1.1673","1.1618","1.1679","1.1610","","0.47%"
"04/21/2025","1.1618","1.1675","1.1676","1.1593","","-0.46%"
"04/18/2025","1.1672","1.1673","1.1689","1.1649","","-0.01%"
"04/17/2025","1.1673","1.1621","1.1690","1.1600","","0.48%"
"04/16/2025","1.1617","1.1727","1.1730","1.1606","","-0.95%"
"04/15/2025","1.1728","1.1622","1.1732","1.1606","","0.91%"
"04/14/2025","1.1622","1.1589","1.1631","1.1499","","0.93%"
"04/11/2025","1.1515","1.1582","1.1593","1.1440","","-0.58%"
"04/10/2025","1.1582","1.1702","1.1741","1.1545","","-1.03%"
"04/09/2025","1.1702","1.1651","1.1722","1.1541","","0.44%"
