"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2022","160.85","161.44","161.52","159.85","","-0.26%"
"03/24/2022","161.27","159.99","161.45","159.56","","0.83%"
"03/23/2022","159.95","160.19","161.13","159.02","","-0.12%"
"03/22/2022","160.14","157.35","160.29","157.23","","1.82%"
"03/21/2022","157.28","157.11","157.55","156.35","","0.17%"
"03/18/2022","157.02","155.93","157.26","155.85","","0.72%"
"03/17/2022","155.90","156.12","156.76","155.43","","-0.10%"
"03/16/2022","156.06","154.28","156.28","154.17","","1.20%"
"03/15/2022","154.21","153.67","154.72","153.23","","0.38%"
"03/14/2022","153.63","152.93","154.23","152.89","","0.48%"
"03/11/2022","152.89","151.99","153.44","151.93","","0.63%"
"03/10/2022","151.93","152.69","153.04","151.87","","-0.47%"
"03/09/2022","152.64","151.57","152.81","151.42","","0.72%"
"03/08/2022","151.55","151.14","152.04","150.97","","0.30%"
"03/07/2022","151.09","151.84","152.26","151.02","","-0.47%"
"03/04/2022","151.80","154.15","154.26","151.45","","-1.49%"
"03/03/2022","154.09","154.88","155.26","153.85","","-0.46%"
"03/02/2022","154.80","153.08","154.95","152.79","","1.12%"
"03/01/2022","153.08","154.35","154.72","152.64","","-0.80%"
"02/28/2022","154.31","154.95","155.04","153.32","","-0.39%"
"02/25/2022","154.91","154.57","155.21","154.13","","0.26%"
"02/24/2022","154.51","155.74","155.92","153.34","","-0.76%"
"02/23/2022","155.69","156.33","156.82","155.58","","-0.39%"
"02/22/2022","156.30","156.04","156.54","155.50","","0.18%"
"02/21/2022","156.02","156.21","156.78","155.99","","-0.17%"
"02/18/2022","156.29","156.47","157.33","156.20","","-0.12%"
"02/17/2022","156.47","156.88","157.03","156.04","","-0.23%"
"02/16/2022","156.83","156.52","157.15","156.33","","0.23%"
"02/15/2022","156.47","156.31","156.86","155.95","","0.13%"
"02/14/2022","156.27","156.54","156.91","155.29","","-0.15%"
"02/11/2022","156.50","157.28","157.74","155.85","","-0.47%"
"02/10/2022","157.24","156.32","158.11","156.22","","0.61%"
"02/09/2022","156.28","156.49","156.89","156.19","","-0.11%"
"02/08/2022","156.45","155.87","156.76","155.67","","0.42%"
"02/07/2022","155.80","155.89","156.20","155.12","","-0.03%"
"02/04/2022","155.85","156.34","156.54","155.51","","-0.29%"
"02/03/2022","156.31","155.43","156.54","155.02","","0.59%"
"02/02/2022","155.39","155.07","155.47","154.79","","0.19%"
"02/01/2022","155.09","154.80","155.25","154.47","","0.22%"
"01/31/2022","154.75","154.44","155.37","154.35","","0.18%"
"01/28/2022","154.47","154.37","155.00","154.07","","0.06%"
