"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 06- 16","1.3571","1.3596","1.3609","1.3539","","-0.10%"
"2025- 06- 13","1.3585","1.3607","1.3653","1.3566","","-0.13%"
"2025- 06- 12","1.3603","1.3671","1.3676","1.3599","","-0.50%"
"2025- 06- 11","1.3672","1.3670","1.3691","1.3649","","0.01%"
"2025- 06- 10","1.3670","1.3700","1.3730","1.3668","","-0.22%"
"2025- 06- 09","1.3700","1.3698","1.3708","1.3668","","0.05%"
"2025- 06- 06","1.3693","1.3677","1.3706","1.3660","","0.12%"
"2025- 06- 05","1.3676","1.3676","1.3685","1.3634","","-0.02%"
"2025- 06- 04","1.3679","1.3721","1.3733","1.3651","","-0.31%"
"2025- 06- 03","1.3721","1.3714","1.3744","1.3700","","0.05%"
"2025- 06- 02","1.3714","1.3739","1.3748","1.3674","","-0.20%"
"2025- 05- 30","1.3741","1.3809","1.3831","1.3714","","-0.49%"
"2025- 05- 29","1.3809","1.3836","1.3863","1.3784","","-0.20%"
"2025- 05- 28","1.3836","1.3809","1.3846","1.3801","","0.20%"
"2025- 05- 27","1.3809","1.3737","1.3837","1.3722","","0.52%"
"2025- 05- 26","1.3737","1.3704","1.3754","1.3686","","-0.02%"
"2025- 05- 23","1.3740","1.3857","1.3865","1.3708","","-0.84%"
"2025- 05- 22","1.3857","1.3861","1.3890","1.3845","","-0.02%"
"2025- 05- 21","1.3860","1.3918","1.3922","1.3813","","-0.40%"
"2025- 05- 20","1.3916","1.3952","1.3970","1.3908","","-0.26%"
"2025- 05- 19","1.3952","1.3970","1.3979","1.3916","","-0.10%"
"2025- 05- 16","1.3966","1.3960","1.3996","1.3934","","0.05%"
"2025- 05- 15","1.3959","1.3983","1.4006","1.3955","","-0.17%"
"2025- 05- 14","1.3983","1.3935","1.3988","1.3901","","0.34%"
"2025- 05- 13","1.3935","1.3975","1.4017","1.3931","","-0.29%"
"2025- 05- 12","1.3975","1.3931","1.4017","1.3891","","0.27%"
"2025- 05- 09","1.3937","1.3926","1.3946","1.3906","","0.09%"
"2025- 05- 08","1.3925","1.3839","1.3934","1.3813","","0.62%"
"2025- 05- 07","1.3839","1.3779","1.3841","1.3763","","0.44%"
"2025- 05- 06","1.3778","1.3822","1.3847","1.3750","","-0.35%"
"2025- 05- 05","1.3826","1.3786","1.3840","1.3777","","0.04%"
"2025- 05- 02","1.3821","1.3854","1.3859","1.3759","","-0.25%"
"2025- 05- 01","1.3855","1.3797","1.3864","1.3784","","0.41%"
"2025- 04- 30","1.3799","1.3834","1.3857","1.3769","","-0.25%"
"2025- 04- 29","1.3834","1.3830","1.3872","1.3808","","0.03%"
"2025- 04- 28","1.3830","1.3862","1.3893","1.3816","","-0.19%"
"2025- 04- 25","1.3857","1.3851","1.3893","1.3845","","0.04%"
"2025- 04- 24","1.3851","1.3885","1.3901","1.3839","","-0.23%"
"2025- 04- 23","1.3883","1.3817","1.3906","1.3797","","0.48%"
"2025- 04- 22","1.3817","1.3842","1.3863","1.3792","","-0.17%"
"2025- 04- 21","1.3841","1.3843","1.3852","1.3780","","-0.05%"
"2025- 04- 18","1.3848","1.3847","1.3872","1.3833","","0.12%"
"2025- 04- 17","1.3832","1.3862","1.3908","1.3828","","-0.17%"
"2025- 04- 16","1.3855","1.3954","1.3967","1.3855","","-0.70%"
"2025- 04- 15","1.3953","1.3870","1.3980","1.3849","","0.58%"
"2025- 04- 14","1.3873","1.3871","1.3912","1.3828","","0.06%"
"2025- 04- 11","1.3864","1.3983","1.3992","1.3838","","-0.83%"
"2025- 04- 10","1.3980","1.4085","1.4112","1.3951","","-0.74%"
"2025- 04- 09","1.4084","1.4263","1.4275","1.4074","","-1.25%"
"2025- 04- 08","1.4262","1.4249","1.4273","1.4143","","0.11%"
"2025- 04- 07","1.4247","1.4250","1.4298","1.4178","","0.20%"
"2025- 04- 04","1.4218","1.4092","1.4261","1.4053","","0.87%"
"2025- 04- 03","1.4095","1.4236","1.4320","1.4027","","-0.95%"
"2025- 04- 02","1.4230","1.4303","1.4368","1.4228","","-0.50%"
"2025- 04- 01","1.4301","1.4386","1.4417","1.4298","","-0.60%"
"2025- 03- 31","1.4387","1.4311","1.4397","1.4299","","0.49%"
"2025- 03- 28","1.4317","1.4306","1.4335","1.4276","","0.09%"
"2025- 03- 27","1.4304","1.4267","1.4330","1.4259","","0.28%"
"2025- 03- 26","1.4264","1.4280","1.4300","1.4234","","-0.09%"
"2025- 03- 25","1.4277","1.4320","1.4333","1.4271","","-0.29%"
"2025- 03- 24","1.4318","1.4350","1.4358","1.4289","","-0.22%"
"2025- 03- 21","1.4349","1.4326","1.4375","1.4313","","0.18%"
"2025- 03- 20","1.4323","1.4326","1.4402","1.4312","","-0.01%"
"2025- 03- 19","1.4324","1.4301","1.4351","1.4295","","0.17%"
"2025- 03- 18","1.4299","1.4290","1.4322","1.4269","","0.08%"
"2025- 03- 17","1.4288","1.4383","1.4384","1.4274","","-0.56%"
"2025- 03- 14","1.4369","1.4438","1.4449","1.4355","","-0.48%"
"2025- 03- 13","1.4439","1.4371","1.4453","1.4358","","0.49%"
"2025- 03- 12","1.4368","1.4436","1.4486","1.4353","","-0.44%"
"2025- 03- 11","1.4432","1.4439","1.4522","1.4379","","-0.02%"
"2025- 03- 10","1.4435","1.4379","1.4473","1.4353","","0.40%"
"2025- 03- 07","1.4377","1.4297","1.4428","1.4279","","0.57%"
"2025- 03- 06","1.4295","1.4341","1.4377","1.4242","","-0.29%"
"2025- 03- 05","1.4337","1.4397","1.4451","1.4330","","-0.35%"
"2025- 03- 04","1.4388","1.4484","1.4543","1.4371","","-0.62%"
"2025- 03- 03","1.4478","1.4467","1.4543","1.4369","","0.09%"
"2025- 02- 28","1.4465","1.4442","1.4473","1.4399","","0.19%"
