Date,n_cand,n_hi,n_cand_rel,n_hi_rel,score_mean_rel,topic_policy_rel,topic_macro_rel,topic_trade_geo_rel,topic_market_rel,topic_corp_rel,topic_commod_fx_rel
2020-09-02,15,3,0.90310442144873,0.7207207207207208,0.9131138368983964,0.7317073170731707,2.1818181818181817,0.6666666666666666,0.5504587155963303,0.6451612903225806,0.9230769230769231
2020-09-03,15,4,0.9005628517823641,0.8982035928143713,1.1943378257865374,0.7317073170731707,2.1238938053097347,0.6666666666666666,1.1111111111111112,0.6451612903225806,0.9230769230769231
2020-09-04,14,5,0.8466603951081845,1.0876132930513596,1.1157738677758138,0.7407407407407407,0.5263157894736842,0.6741573033707865,1.6666666666666665,0.6451612903225806,0.9230769230769231
2020-09-08,32,5,1.8679245283018866,1.0810810810810811,0.8520120040236594,1.4814814814814814,0.5309734513274337,0.6741573033707865,0.5454545454545454,0.6451612903225806,0.9375
2020-09-09,9,2,0.5591798695246971,0.5405405405405406,0.9393020384296225,0.7317073170731707,0.5309734513274337,1.3636363636363635,0.5555555555555556,0.6451612903225806,0.9375
2020-09-10,15,4,0.9056603773584905,0.9063444108761329,1.0796731130531199,0.7317073170731707,2.142857142857143,0.6741573033707865,0.5660377358490566,0.6451612903225806,1.875
2020-09-11,17,5,1.0179076343072573,1.0778443113772456,0.9680972744450562,0.7407407407407407,1.565217391304348,0.6741573033707865,0.5660377358490566,0.6451612903225806,0.9230769230769231
2020-09-14,12,1,0.7365439093484419,0.3614457831325301,0.8083494615620385,0.7407407407407407,0.5128205128205129,0.6896551724137931,0.5660377358490566,0.6521739130434783,0.9230769230769231
2020-09-15,16,8,0.9659090909090908,1.6363636363636365,1.1343381887720987,1.4814814814814814,1.0434782608695652,2.7586206896551726,0.5660377358490566,0.6521739130434783,0.9230769230769231
2020-09-16,17,7,1.0207939508506616,1.437125748502994,1.2358551752331057,3.7037037037037033,1.5517241379310345,0.6741573033707865,0.5714285714285714,0.6521739130434783,0.9230769230769231
2020-09-17,15,5,0.906515580736544,1.0714285714285714,1.1370126895657016,0.7058823529411764,1.5384615384615385,0.6741573033707865,1.7307692307692306,0.6521739130434783,0.9375
2020-09-18,10,0,0.6261859582542695,0.17857142857142858,0.7390079108706029,0.7058823529411764,0.5084745762711864,0.7058823529411764,0.5714285714285714,0.6521739130434783,0.9375
2020-09-21,18,1,1.081593927893738,0.3592814371257485,0.7517309789276916,0.7058823529411764,0.5084745762711864,0.7058823529411764,0.5769230769230769,0.6521739130434783,0.9375
2020-09-22,8,3,0.5113636363636364,0.729483282674772,1.011421398671522,1.4117647058823528,0.5128205128205129,0.7058823529411764,0.5825242718446602,0.6521739130434783,0.9375
2020-09-23,11,1,0.6929740134744947,0.36697247706422015,0.8528808156145465,0.7058823529411764,0.5172413793103449,0.7142857142857143,1.2000000000000002,0.6521739130434783,0.9375
2020-09-24,19,3,1.1594202898550725,0.7384615384615384,0.9376305266785663,0.7142857142857143,2.0689655172413794,0.7228915662650602,0.594059405940594,0.6521739130434783,0.9375
2020-09-25,9,1,0.5774783445620789,0.37037037037037035,0.8661190782128985,0.7142857142857143,0.5042016806722689,0.7317073170731707,0.6060606060606061,1.3043478260869565,0.9375
2020-09-28,16,2,0.9864603481624757,0.5642633228840126,0.8163002581927477,0.7228915662650602,0.5042016806722689,0.7407407407407407,0.6185567010309279,0.6451612903225806,0.9375
2020-09-29,12,2,0.7543520309477756,0.5660377358490566,0.8179695300391596,0.7228915662650602,0.5084745762711864,0.7407407407407407,0.6185567010309279,0.6451612903225806,0.9375
2020-09-30,15,0,0.9393346379647749,0.18927444794952683,0.6324194088395512,0.7228915662650602,0.5084745762711864,0.75,0.625,0.6451612903225806,0.9375
2020-10-01,19,7,1.1730205278592374,1.5286624203821655,1.2463505629849163,0.7228915662650602,3.0508474576271185,0.75,1.25,1.3043478260869565,0.9375
2020-10-02,19,5,1.1707317073170733,1.135646687697161,0.9655167251037172,0.7228915662650602,1.4634146341463417,0.7692307692307692,1.25,0.6451612903225806,0.9375
2020-10-05,16,3,0.9912536443148688,0.7643312101910827,0.9077304249271348,0.7317073170731707,0.9677419354838711,0.7792207792207793,0.6451612903225806,0.6451612903225806,0.9375
2020-10-06,12,3,0.7609756097560976,0.7766990291262136,1.07484191641893,1.4634146341463414,0.4800000000000001,0.7894736842105263,0.6593406593406593,1.3186813186813187,0.9375
2020-10-07,15,5,0.9467455621301776,1.1688311688311688,1.2106836935130267,1.4457831325301205,2.4000000000000004,0.7894736842105263,1.3333333333333333,0.6593406593406593,0.9523809523809523
